"Player.Name.","X.Team.","rush_att.","rush_yds.","rush_tds.","rec_att.","rec_yds.","rec_tds.","fumbles.","fpts."
"Will Ta'ufo'ou","JAC",4,14,0,7.5,41.5,0,0,5.6
"Evan Royster","WAS",9,38.3,0,2.3,16.5,0,0,5.5
"Isaiah Pead","STL",7.5,33.5,0,2.5,18,0,0,5.2
"Jay Prosch","HOU",7,28,0,3,21,0,0,4.9
"Michael Cox","NYG",6.9,31.3,0,2.1,16.9,0,0,4.8
"Miguel Maysonet","PIT",6.8,28.5,0,0.8,3,0,0,3.2
"Robert Hughes","ARI",3.8,12.8,0,2.3,14.3,0,0,2.7
"Lonnie Pryor","TB",2.3,6.8,0,3,15.8,0,0,2.3
"Spencer Ware","SEA",2.3,7.5,0,0,0,0,0,0.8
"Cierre Wood","BAL",0,0,0,0,0,0,0,0
"Vick Ballard","IND",0,0,0,0,0,0,0,0
"Kendall Hunter","SF",0,0,0,0,0,0,0,0
