PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Puka Nacua,LAR,0,377.9,0.3,1.5,9.5,0.1,0.2,40.7
Justyn Ross,KC,0,366.8,0.2,1.5,9.2,0.1,0.2,39
Tank Dell,HOU,16.4,317.5,0.8,0.9,5.7,0.1,0.3,36.6
Braxton Berrios,MIA,20.1,262.3,0.9,2.6,27.1,0.5,0.4,36.5
Quez Watkins,PHI,16.8,288.9,1.2,0.8,1.3,0,0.2,35.7
Michael Wilson,ARI,16.5,277.6,0.7,1.5,11,0.1,0.1,33.2
Chris Moore,TEN,24.1,260.4,1,1.2,3.2,0,0,32.6
Jauan Jennings,SF,19.6,254.3,1.1,0,0.2,0,0,31.7
Olamide Zaccheaus,PHI,19.5,250.3,1.2,0.8,2.7,0,0.4,31.7
Marquez Callaway,DEN,20.9,232.7,1.3,0,0.3,0,0,31.4
Robbie Chosen,MIA,0,291.2,0.2,0.8,5.6,0,0.2,30.5
Marquise Goodwin,CLE,15.8,210.5,1.4,1.2,6,0,0,30.3
Kalif Raymond,DET,16.8,205.4,1.1,0.8,19.6,0.2,0.1,30
Amari Rodgers,IND,21,218.6,1.1,0.3,8.5,0,0.1,29.3
Tim Patrick,DEN,0,292.9,0,0,0,0,0,29.3
Demarcus Robinson,LAR,22.5,233,1,0,0.2,0,0.1,29.1
Xavier Hutchinson,HOU,0,274.4,0.1,1.1,6.8,0.1,0.2,28.9
Noah Brown,HOU,20.1,237.7,0.9,0.2,0.5,0,0.2,28.7
Samori Toure,GB,20,219,1.1,0.4,3.5,0,0.1,28.7
Charlie Jones,CIN,17.8,225.5,1.1,0.9,7,0,0.7,28.5
Randall Cobb,NYJ,19.9,206.2,1.1,0.1,0.6,0,0.1,27.3
Devin Duvernay,BAL,9.8,187.4,0.5,3.4,38.5,0.2,0,26.7
Jalen Guyton,LAC,15.8,204.3,0.9,1.2,5.8,0,0,26.4
Cedrick Wilson Jr.,MIA,19.3,203.1,1,0.4,0.8,0,0,26.2
Kyle Philips,TEN,13.2,211.5,0.6,1.1,5.3,0,0.2,25.3
David Bell,CLE,12.6,213.9,0.4,0,0.2,0,0,24.1
Justin Watson,KC,13.7,179.8,0.9,0,0.3,0,0,23.6
Cade Johnson,SEA,14.6,168,1.1,0,1.7,0,0,23.3
A.T. Perry,NO,0,226,0,0.9,5.6,0,0.2,22.8
Zach Pascal,ARI,17.9,174.7,0.9,0.1,1.4,0,0.1,22.7
Tyler Scott,CHI,0,213.7,0,0.9,5.3,0,0.1,21.7
Dyami Brown,WAS,12.3,169.7,0.6,0.4,7.7,0,0,21.4
Trent Sherfield,BUF,11.6,168.3,0.7,0,0.8,0,0,20.9
Tre Nixon,NE,10.1,137.5,0.9,0,6.3,0,0,19.8
Bryan Edwards,NO,9.7,142.5,0.8,0,2.5,0,0,19.4
Calvin Austin III,PIT,11.3,157,0.5,0.4,4.1,0,0.1,18.8
KhaDarel Hodge,ATL,11.6,131.4,0.9,0,4,0,0,18.8
Jamal Agnew,JAC,11.8,104.1,0.4,3.7,45.4,0.3,0.1,18.8
Dontayvion Wicks,GB,13.6,132.3,0.5,0.4,5.6,0,0.1,16.9
Steven Sims Jr.,HOU,7.7,96.5,0.5,0,24.7,0.2,0.1,16.3
David Moore,TB,8.7,104,0.6,0,10.4,0.1,0,15.9
Shi Smith,CAR,10.2,126.2,0.5,0.1,0.9,0,0.1,15.8
Dee Eskridge,SEA,13.3,106,0.5,2.9,17.7,0.1,0,15.7
Trenton Irwin,CIN,13.5,125.1,0.5,0.2,0.8,0,0,15.7
Trey Palmer,TB,9.5,124.2,0.4,0.3,1.9,0,0.1,15
Nelson Agholor,BAL,3.7,142.5,0.2,0.4,1.3,0,0.3,15
Jalen Nailor,MIN,10,105.9,0.7,0.3,1.7,0,0.1,14.8
Cole Beasley,NYG,9.7,107.5,0.6,0,0.3,0,0,14.6
Britain Covey,PHI,6.2,100.8,0.6,0,5.7,0.1,0,14.4
Andre Baccellia,ARI,9.1,116.9,0.4,0,0,0,0,14.1
Brandon Powell,MIN,12,89.1,0.4,1.1,28.2,0,0.1,14
Deven Thompkins,TB,6,83.6,0.4,0,16.7,0.2,0,13.5
Equanimeous St. Brown,CHI,6.8,96.5,0.4,0.4,9.3,0,0,13.4
Velus Jones Jr.,CHI,3.9,79.1,0.2,0.4,34.2,0.1,0.1,13.3
Tre Tucker,LV,9.6,100.6,0.4,0.3,7.3,0,0.1,13.1
DeAndre Carter,LV,8.6,102.1,0.4,0.5,7.1,0,0.2,13
Jalen Tolbert,DAL,4.2,108.1,0.3,0.7,3.7,0,0.1,12.8
