PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
James Develin,NE,2.3,7.2,0.1,4.3,35.9,0.3,0.1,6.6
Zurlon Tipton,IND,7,25,0,4,41,0,0,6.6
Ryan Hewitt,CIN,0,0,0,5.5,46.2,0.3,0.1,6.2
Bryce Brown,BUF,6,25,0,3,33.5,0,0,5.9
Henry Hynoski,NYG,13.6,36.7,0.1,2,15.5,0,0,5.7
Jeremy Langford,CHI,8.2,31.2,0.1,2.4,18.6,0,0.1,5.4
Shonn Greene,TEN,11,47,0,1,5,0,0,5.2
Marcus Murphy,NO,4.1,15.9,0.2,2.4,20.1,0.1,0.1,5.1
Joe Banyard,MIN,3,14,0,5,33,0,0,4.7
Michael Burton,DET,4,12.8,0.2,2.1,17.8,0.1,0.1,4.6
Vick Ballard,IND,4,15.1,0.1,2.2,19.1,0.1,0.1,4
Malcolm Johnson,CLE,0,0,0,3.4,29.4,0.2,0,3.8
George Winn,DET,7,29,0,1,9,0,0,3.8
Donald Brown,SD,4,15.2,0,2.1,17.8,0,0,3.7
Lache Seastrunk,DAL,2.3,8.7,0.1,2,16.9,0.1,0.1,3.5
Mike Davis,SF,4.1,16.1,0.1,1.9,15.2,0,0.1,3.5
Joey Iosefa,TB,4,13,0,2,17,0,0,3
Thomas Rawls,SEA,4.5,17.6,0.1,0,0,0,0.1,2.4
Shaun Draughn,CLE,4.8,14.9,0.1,0.5,4.5,0,0,2.4
Tyler Gaffney,NE,4.8,17.2,0.1,0.1,1,0,0.1,2.1
Antonio Andrews,TEN,3.8,14.9,0.1,0,0,0,0.1,2.1
Mike James,TB,3.8,14.6,0.1,0,0,0,0,2
Darrin Reaves,KC,4.8,17.8,0.1,0,0,0,0.1,2
Corey Grant,JAC,3.8,14.4,0.1,0,0,0,0.1,1.8
LaMichael James,MIA,3,12,0.1,0.5,2,0,0,1.6
Storm Johnson,JAC,4,14,0,0,0,0,0,1.4
Kenjon Barner,PHI,2.4,9.4,0.1,0,0,0,0,1.4
Cedric Peerman,CIN,2.3,9.1,0.1,0,0,0,0,1.3
Will Tukuafu,SEA,0,2,0,2,9,0,0,1.1
Trey Millard,SF,1,4,0,1,7,0,0,1.1
Aaron Ripkowski,GB,1,3,0,1,8,0,0,1.1
Juwan Thompson,DEN,2.1,8.9,0,0,0,0,0,1.1
John Crockett,GB,2,7.9,0.1,0,0,0,0,1
Jordan Todman,CAR,2.1,8.9,0,0,0,0,0,1
J.C. Copeland,NYJ,1,3,0,1,5,0,0,0.8
Ahmad Bradshaw,IND,0,0,0,0,0,0,0,0
Chris Johnson,NYJ,0,0,0,0,0,0,0,0
Pierre Thomas,NO,0,0,0,0,0,0,0,0
Bernard Pierce,JAC,0,0,0,0,0,0,0,0
