PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Paul Richardson,SEA,0.4,1.7,0,20.1,272.9,1.5,0.1,36.1
JuJu Smith-Schuster,PIT,0,0,0,22.1,283.8,1.4,0.3,36.1
Geronimo Allison,GB,0,-0.1,0,18.4,258.2,1.7,0.3,35.7
Chad Williams,ARI,0,0,0,21.7,277.2,1.6,0.7,35.6
Dontrelle Inman,LAC,0,0,0,19.9,274.8,1.4,0.4,35.2
Jaron Brown,ARI,0,0,0,20,266.1,1.3,0.4,33.9
Victor Cruz,CHI,0.5,2,0,21.2,303.0,1,1.5,33.8
Andre Ellington,ARI,20.4,87.4,0.5,25.8,181.1,0.4,0,32.6
Danny Amendola,NE,0,0,0,19.9,231.6,1.9,1.1,32.2
Taywan Taylor,TEN,0,0,0,18.7,236.1,1.6,0.6,32.2
Rod Streater,BUF,0,0,0,18.4,235.3,1.5,0.3,31.8
Chad Hansen,NYJ,0,0,0,20,260.0,1.1,0.6,31.4
Cordarrelle Patterson,OAK,4.1,32.5,0.1,18.5,198.1,1.3,0.3,30.9
Kenny Bell,BAL,0,0,0,18,242.0,1,0,30.2
Russell Shepard,CAR,2.1,10.2,0,15.8,226.4,1.1,0.3,30
Dede Westbrook,JAC,0,0,0,18.5,235.4,1.3,0.7,29.8
Ricardo Louis,CLE,0.3,1,0,20.9,245.1,0.8,0.3,28.5
Tajae Sharpe,TEN,1,5.5,0,17.6,211.7,1.2,0.3,28.2
Justin Hardy,ATL,0,0,0,16.1,194.6,1.5,0.2,28.1
Bennie Fowler,DEN,0,0,0,17.9,222.3,1,0.3,27.8
Roger Lewis,NYG,0.3,1.3,0,16.8,205.7,1.3,0.3,27.7
Jalin Marshall,NYJ,0.3,1.3,0,17.7,221.9,1.2,1.1,27.5
Michael Floyd,MIN,0,0,0,16,198.4,1.3,0.2,27.3
Aldrick Robinson,SF,1.3,7.7,0,14.6,205.0,1.1,0.4,27
TJ Jones,DET,0,0.1,0,15.8,206.1,1.2,0.5,26.9
Brian Quick,WAS,0.7,2.3,0,16.3,202.5,1,0.2,26
Justin Hunter,PIT,0,0,0,12.5,166.4,1.5,0.2,25.1
Philly Brown,BUF,0.6,2.4,0,15.3,178.0,1.3,0.3,25
Deonte Thompson,CHI,0,0,0,15.8,186.3,1.1,0.5,24.1
Andre Roberts,ATL,0.7,2,0,13.3,181.2,1.2,1.1,23.5
Sammie Coates,PIT,1.5,13.4,0.1,9.6,170.8,0.8,0.2,23.4
Jordan Taylor,DEN,0,0,0,13.8,181.1,1.1,0.8,23
Chris Moore,BAL,1.1,8.2,0,15.9,177.8,0.8,0.2,22.9
Chester Rogers,IND,0,0,0,13.7,181.1,0.9,0.2,22.9
Vince Mayle,BAL,0,0,0,13.9,169.3,0.9,0.2,22.1
Brittan Golden,ARI,0,0,0,10.8,157.1,1.1,0.3,21.4
Andre Holmes,BUF,0,0,0,12.8,159.6,1,0.2,21.4
Michael Campanaro,BAL,2.3,12.2,0,12.8,154.4,0.8,0.2,21.3
Demarcus Robinson,KC,0,0,0,12.2,159.5,0.9,0.1,21.2
Josh Bellamy,CHI,0.1,0.3,0,12.6,167.1,0.8,0.4,20.9
Jarius Wright,MIN,0.1,0.3,0,14.9,175.3,0.4,0.2,19.7
